"What does HTML stand for?, ""HyperText Markup Language"", ""Hyper Transfer Markup Language"", ""HighText Machine Language"", ""None of the above"", ""A"""
"Which tag is used to define a paragraph?, ""[para]"", ""[txt]"", ""[paragraph]"", ""[p]"", ""D"""
"What is the correct HTML tag for inserting an image?, ""[image]"", ""[img]"", ""[pic]"", ""[src]"", ""B"""
"Which tag is used to create a hyperlink?, ""[link]"", ""[href]"", ""[a]"", ""[url]"", ""C"""
"Which HTML element represents a table row?, ""[tr]"", ""[td]"", ""[table]"", ""[row]"", ""A"""
"What is the correct syntax for an unordered list?, ""[li]"", ""[list]"", ""[ul]"", ""[ol]"", ""C"""
"Which HTML tag is used for defining a form?, ""[form]"", ""[input]"", ""[fieldset]"", ""[table]"", ""A"""
"Which attribute specifies the text shown in an image when it cannot load?, ""title"", ""href"", ""alt"", ""src"", ""C"""
"Which HTML tag is used to define metadata about the document?, ""[meta]"", ""[head]"", ""[title]"", ""[style]"", ""A;B"" "
"What is the default character encoding in HTML5?, ""ASCII"", ""ISO-8859-1"", ""UTF-8"", ""Unicode"", ""C;D"""
