"What is the correct syntax to declare a main method in Java?, ""public static void main(String[] args)"", ""void main()"", ""public static void main()"", ""static void main(String args[])"", ""A"""
"Which of the following is not a primitive data type in Java?, ""int"", ""boolean"", ""double"", ""String"", ""D"""
"Which keyword is used to define a constant variable?, ""constant"", ""final"", ""static"", ""const"", ""B"""
"Which operator is used for logical AND in Java?, ""|"", ""&"", ""&&"", ""||"", ""C"""
"What will `System.out.println(5 % 2);` output?, ""2.5"", ""2"", ""0"", ""1"", ""D"""
"What is the default value of a boolean variable in Java?, ""true"", ""false"", ""null"", ""0"", ""B"""
"Which loop is best used when the number of iterations is known?, ""while"", ""do-while"", ""for"", ""switch"", ""C"""
"What does JVM stand for?, ""Java Virtual Machine"", ""Java Visual Mode"", ""Java Verified Memory"", ""Java Variable Module"", ""A"""
"What keyword is used to inherit a class in Java?, ""inherits"", ""extends"", ""implements"", ""super"", ""B;C"""
"Which package is automatically imported in every Java program?, ""java.io"", ""java.net"", ""java.lang"", ""java.util"", ""C"""
